codigo,componente,titulo original,titulo leigo,CIDS10 possíveis,CID10 mais frequente,definição,critérios de inclusão,critérios de exclusão,considerar,nota,
H83,7,Otoesclerose,Otoesclerose,H80,H80,,,,,,
H84,7,Presbiacusia,Presbiacusia,H91.1,H91.1,"desenvolvimento progressivo de surdez simétrica bilateral com o envelhecimento, principalmente na percepção de sons de alta freqüência",,surdez não especificada H86,diminuição da capacidade auditiva H28,,
H85,7,Lesão acústica,Lesão acústica,H83.3,H83.3,"surdez para sons de alta freqüência, com história de exposição a ruído elevado",surdez por ruído,tímpano perfurado H77,surdez não especificada H86,,
H86,7,Surdez,Surdez,"H90, H91.0, H91.2, H91.3, H91.8, H91.9",H91,,surdez congênita; surdez parcial ou total dos dois ouvidos,"surdez temporária H28, surdez de um ouvido H28, otoesclerose H83, presbiacusia H84, surdez de ruído H85",,,
H99,7,Outra doença do ouvido/mastóide,Outra doença do ouvido/mastóide,"H61.0, H61.1, H61.3, H61.8, H61.9, H73.8, H73.9, H74, H83.8, H83.9, H93.0, H93.3, H93.8, H94, H93.9",H93.8,,"pólipo no ouvido médio, estenose, canal auditivo externo estreitado",mastoidite H74,,,
K01,1,Dor atribuída ao coração,Dor atribuída ao coração,R07.2,R07.2,,dores atribuídas pelo paciente ao coração,dores torácicas NE A11; medo de ataque cardíaco K24; angina de peito K74; sensação de aperto torácico R29,,,
K02,1,Sensação de pressão/aperto atribuída ao coração,Sensação de pressão/aperto atribuída ao coração,R07.2,R07.2,,"sensação de peso no coração, segundo a descrição do paciente","dores torácicas NE A11; medo de ataque cardíaco K24; angina de peito K74; falta de ar, dispnéia R02",,,
K03,1,Dores atribuídas ao aparelho circulatório NE,Dores atribuídas ao aparelho circulatório NE,R09.8,R09.8,,,"dores atribuídas ao coração K01; claudicação K92, enxaquecas N89",,,
K04,1,Palpitações/percepção dos batimentos cardíacos,Palpitações/percepção dos batimentos cardíacos,"R00.0, R00.1, R00.2",R00.2,,taquicardia,taquicardia paroxística K79,,,
K05,1,Outras irregularidades dos batimentos cardíacos,Outras irregularidades dos batimentos cardíacos,R00.8,R00.8,,,palpitações K04,,,
K06,1,Veias proeminentes,Veias proeminentes,"I78.1, I87.8",I87.8,,"quaisquer veias habitualmente dilatadas, aranhas vasculares","veias varicosas K95, hemangioma S81",,,
K07,1,Tornozelos inchados/edema,Tornozelos inchados/edema,R60,R60,,"hidropsia, retenção de líquidos, pés e pernas inchadas","sintomas nos tornozelos L16, inchaço localizado S04",,,
K22,1,Fator de risco para doença cardiovascular,Fator de risco para doença cardiovascular,"Z82.3, Z82.4, Z86.7",Z82.4,,"história pessoal ou familiar, episódio anterior, ou outro fator de risco de doença cardiovascular",,,,
K24,1,Medo de doença cardíaca,Medo de doença cardíaca,Z71.1,Z71.1,paciente que receia ter uma doença cardíaca sem a ter ou até o diagnóstico ser confirmado,medo de ataque cardíaco,"se o paciente tem a doença, codifique-a",,,
K25,1,Medo de hipertensão,Medo de hipertensão,Z71.1,Z71.1,paciente que receia ter hipertensão sem a ter ou até o diagnóstico ser confirmado,,"se o paciente tem a doença, codifique-a",,,
K27,1,Medo de outra doença cardiovascular,Medo de outra doença cardiovascular,Z71.1,Z71.1,paciente que receia ter outra doença do sistema circulatório sem a ter ou até o diagnóstico ser confirmado,,"se o paciente tem a doença, codifique-a",,,
K28,1,Limitação funcional/incapacidade,Limitação funcional/incapacidade,Z73.6,Z73.6,identificação de uma incapacidade que pode ser atribuída a um sintoma e/ou doença do aparelho circulatório,,"medo de doenças K25, K26, K27",,Os quadros COOP/WONCA permitem codificar o estado funcional do paciente (ver Capítulo 8).,
K29,1,Outros sinais/sintomas cardiovasculares,Outros sinais/sintomas cardiovasculares,"R03.1, R09.8",R09.8,,"problemas cardíacos, pressão baixa, fraqueza no coração",líquido no peito R93; cianose S08,,,
K70,7,Doença infecciosa do aparelho circulatório,Doença infecciosa do aparelho circulatório,"A39.5, B33.2, B37.6, I30, I32, I33, I38, I39, I40, I41",I40,,endocardite aguda e subaguda; endocardite bacteriana; miocardite; pericardite (exceto a reumática),doença cardíaca reumática K71; flebite e tromboflebite K94; arterite K99,,,
K71,7,Febre reumática/cardiopatia,Febre reumática/cardiopatia,"I00, I01, I02, I05, I06, I07, I08, I09",I09,"Para a febre reumática aguda - duas manifestações graves, ou uma grave e duas menores, e ainda evidência de infecção estreptocócica anterior; Manifestações graves: poliartrite migratória; cardite; coréia; eritema marginado; aparecimento recente de nódulos subcutâneos; Manifestações menores: febre; artralgia; VS elevada ou proteína C-reativa positiva; intervalo PR prolongado no eletrocardiograma. Para doença cardíaca reumática crônica - tanto sinais físicos correspondentes a lesão valvular cardíaca num paciente com passado de febre reumática; ou sinais físicos consistentes de estenose mitral, mesmo na ausência de história clínica de febre reumática, mas sem outra causa demonstrável","coréia, estenose mitral",,"doença valvular cardíaca K83, outra doença cardíaca K84",,
K72,7,Neoplasia do aparelho circulatório,Neoplasia do aparelho circulatório,"C38.0, C45.2, D15.1, D15.2, D48.7",D48.7,,benigna e maligna,hemangioma S81,,codificar neoplasias secundárias e metastáticas em localização primária,
K73,7,Malformações congênitas do aparelho circulatório,Malformações congênitas do aparelho circulatório,"I42.4, Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q27, Q28",Q28,,malformação septo-auricular ou ventricular; tetralogia de Fallot; canal arterial persistente,hemangioma S81,,,
K74,7,Doença cardíaca isquémica com angina,Doença cardíaca isquêmica com angina,"I20, I24.0, I24.8, I24.9",I20,história e sinais eletrocardiográficos ou imagiológicos de antigos enfartes do miocárdio; ou sinais de isquemia do miocárdio no ECG em repouso ou de esforço; ou detecção por investigação de estenose da artéria coronária ou aneurisma ventricular,"angina provocada pelo esforço, angina de peito, angina com espasmos; dor torácica isquêmica; angina instável",doença cardíaca isquêmica sem angina K76,dor atribuída ao coração KO1,,
K75,7,Infarto ou Enfarte agudo miocárdio,Infarto ou Enfarte agudo miocardio,"I21, I22, I23, I24.1",I21,"dores torácicas características de isquemia miocárdica, com duração superior a 15 minutos, e/ou alterações anormais do ST-T ou ondas Q novas no eletrocardiograma ou aumento das enzimas cardíacas no sangue","enfarte do miocárdio especificado como tendo sido agudo, ou 4 semanas (28 dias) após o começo","enfarte do miocárdio antigo ou tratado K74,K76","dor atribuída ao coração KO1, angina de peito K74, doença cardíaca isquêmica crônica K76",possível código duplo K74 ou K76,
K76,7,Doença cardíaca isquémica sem angina,Doença coronariana,I25,I25,"história mais ECG, ou manifestações imagiológicas de um enfarte do miocárdio antigo; ou evidência no ECG em repouso ou de esforço de isquemia do miocárdio; ou evidência, por investigação, de estenose da artéria coronária; ou aneurisma ventricular","aneurisma cardíaco, doença cardíaca arteriosclerótica ou aterosclerótica, doença coronária, cardiomiopatia isquêmica, enfarte do miocárdio antigo, isquemia miocárdica silenciosa",doença cardíaca isquêmica com angina K74,,,
K77,7,Insuficiência cardíaca,Insuficiência cardíaca,I50,I50,"sinais múltiplos, incluindo edema dependente, pressão venosa jugular aumentada, hepatomegalia sem a presença de doença hepática, congestão pulmonar, derrame pleural, coração aumentado de tamanho","asma cardíaca, insuficiência cardíaca congestiva, insuficiência cardíaca NE, insuficiência do ventrículo esquerdo, edema pulmonar, insuficiência do ventrículo direito",cor pulmonale K82,,,
K78,7,Fibrilação/flutter auricular/ atrial,Arritmia do tipo fibrilação atrial,I48,I48,manifestações características no eletrocardiograma; ou ritmo cardíaco irregular com déficit do pulso,,taquicardia paroxística K79,"palpitações KO4, batimentos cardíacos irregulares anormais KO5",,
K79,7,Taquicardia Paroxística,Taquicardia Paroxística,I47,I47,história clínica de episódios sucessivos de acelerações cardíacas (superior a 140/min) que surgem e terminam abruptamente,supraventricular ou ventricular,"taquicardia NE K04, fibrilação auricular K78","palpitações KO4, ritmo cardíaco irregular anormal KO5",,
K80,7,Arritmia cardíaca NE,Arritmia cardíaca NE,I49,I49,um ou mais batimentos cardíacos que surgem fora do ritmo cardíaco regular,"auricular, batimentos cardíacos prematuros juncionais, ventriculares e auriculares; bradicardia; bigeminismo; batimentos ectópicos; extrasístoles; batimentos prematuros; síndrome do seio paciente; fibrilação ventricular e flutter",taquicardia paroxística K79,"palpitações KO4, ritmo cardíaco irregular K05",,
K81,7,Sopro cardíaco/arterial NE,Sopro cardíaco/arterial NE,"R01, R09.8",R01.1,,"sopro cardíaco, sopro carotídeo, sopro inocente infantil, ruído da artéria renal","doença reumática cardíaca K71, doença valvular K83, frêmito venoso K84, doença cerebrovascular K90",,,
K82,7,Doença cardiopulmonar,Doença cardiopulmonar,"I27, I28",I27,"presença de doença pulmonar crônica, ou troca dos gases respiratórios; e ainda aumento do tamanho do ventrículo direito ou insuficiência cardíaca direita","cor pulmonale crônico, doenças dos vasos pulmonares, hipertensão pulmonar primária",embolia pulmonar K93,insuficiência cardíaca direita K77,,
K83,7,Doença valvular cardíaca NE,Doença valvular cardíaca NE,"I34, I35, I36, I37",I08.9,"ausência de critérios da doença cardíaca reumática crônica K71 e manifestação de disfunção valvular quer por sopro cardíaco característico, quer por sinais imagiológicos ou ecocardiográficos do funcionamento valvular anormal","endocardite crônica; prolapso da válvula mitral; insuficiência da válvula tricúspide, mitral, pulmonar, aórtica não-reumática",doença valvular reumática K71,"doença cardíaca hipertensiva K87, sopros cardíacos não-especificados K81",,
K84,7,Outras doenças cardíacas,Outras doenças cardíacas,"I31, I42.0, I42.1, I42.2, I42.3, I42.5, I42.6, I42.7, I42.8, I42.9, I43, I44, I45, I46, I51, I52, O90.3",I51,,bloqueio de ramo; parada cardíaca; cardiomegalia; doença do pericárdio; cardiomiopatia;bloqueio cardíaco; bloqueio do ramo esquerdo; outros distúrbios da condução; outras doenças cardíacas não-especificadas,arritmias cardíacas K80,,,
K85,7,Pressão arterial elevada,Pressão arterial elevada,R03.0,R03.0,,pressão arterial elevada não correspondendo aos critérios estabelecidos em K86 e K87;hipertensão transitória ou instável,,,,
K86,7,Hipertensão sem complicações,Pressão alta/ Hipertensão sem complicações,I10,I10,"duas ou mais medidas em cada consulta, ao longo de duas ou mais consultas, com pressão arterial diastólica média superior a 95mmHg ou sistólica superior a 160mmHg (em pacientes adultos); duas ou mais leituras numa consulta em que o paciente apresenta uma pressão arterial diastólica média igual ou superior a 120 mmHg; sem sinais de envolvimento secundário do coração, rim, olho ou cérebro",hipertensão essencial; hipertensão NE; hipertensão idiopática; hipertensão instável,"hipertensão com complicações K87, durante a gravidez W81",pressão sanguínea elevada K85,"Tratando-se de uma criança, consultar as tabelas de pressão arterial para crianças 2: Em caso de hipertensão secundária, codifique a causa subjacente",
K87,7,Hipertensão com complicações,Pressão alta/ Hipertensão com complicações,"I11, I12, I13, I15, I67.4",I13,"duas ou mais medidas em cada consulta, ao longo de duas ou mais consultas, com pressão arterial diastólica média superior a 95mmHg ou sistólica superior a 160mmHg (em pacientes adultos); duas ou mais leituras em uma consulta em que o paciente apresenta uma pressão arterial diastólica média igual ou superior a 120 mmHg; níveis de pressão arterial correspondentes aos definidos em K86, e alterações cardíacas (hipertrofia, insuficiência), renais (albuminúria, azotemia), oculares, ou cerebrais devido a hipertensão",hipertensão maligna,hipertensão sem complicações K86,,"1: Para crianças, é necessário consultar tabelas de pressão arterial pediátricas apropriadas",
"2: Se hipertensão secundária, é necessário codificar também a causa/ problema de base""",,,,,,,,,,,
K88,7,Hipotensão postural,Hipotensão postural,"I95.0, I95.1, I95.8, I95.9",I95.1,"sinais ou sintomas de insuficiência cerebrovascular (tonturas, síncope) ao passar repentinamente da posição supina para a posição vertical; e diminuição da pressão arterial em 15mmHg em duas ou mais circunstâncias ao passar de uma posição supina para uma posição vertical","hipotensão idiopática, ortostática",devido à medicação A85,pressão arterial baixa K29,,
K89,7,Isquêmia/ acidente cerebral transitória(o),Acidente isquêmico transitório,G45,G45,"sintomas de hipofunção cerebral temporária (menos de 24 horas), aparecimento repentino, de origem presumivelmente vascular, sem seqüelas; com exclusão de enxaqueca, enxaqueca equivalente, ou epilepsia",insuficiência basilar; “ataques de queda”; acidentes isquêmicos transitórios (AIT); amnésia geral transitória,"acidente cerebrocardiovascular K90, enxaqueca N89, sopro carotídeo K81","desmaios, sincope A06",código duplo com K91,
K90,7,Trombose/acidente vascular cerebral,Acidente vascular cerebral/ AVC/ derrame,"G46, I60, I61, I62, I63, I64",I64,"sinais e sintomas de uma perturbação da função cerebral, presumivelmente de origem vascular, com duração superior a 24 horas ou provocando a morte em quatro semanas (28 dias) após o aparecimento","apoplexia; embolia cerebral; enfarte cerebral; trombose cerebral; acidente vascular cerebral (AVC), oclusão ou estenose; hemorragia cerebral; hemorragia subaracnóidea",isquemia cerebral transitória K89,,código duplo com K91,
K91,7,Doença vascular cerebral,Doença vascular cerebral,"I65, I66, I67.0, I67.1, I67.2, I67.3, I67.5, I67.6, I67.7, I67.8, I67.9, I68, I69",I67,isquemia cerebral transitória ou trombose precedentes; ou resultados de investigação evidenciando doença vascular cerebral,"aneurisma cerebral, seqüelas de trombose",,,,
K92,7,Aterosclerose/doença vascular periférica,Aterosclerose/doença vascular periférica,"I70, I73, I74, R02",I73,,"arteriosclerose; embolia arterial, trombose ou estenose; ateroma; endoarterite; gangrena; claudicação intermitente; isquemia dos membros; síndrome de Renaud; vasoespasmo","mesentérica D99, oftálmica F99, da retina F99, coronária de K74 a K76, pulmonar K82, cerebral K89,K90, aneurisma K99, renal U99; como complicação de aborto, gravidez, parto W77 ou puerpério W96",,,
K93,7,Embolia pulmonar,Embolia pulmonar,I26,I26,"aparecimento súbito de dispnéia ou taquipnéia, e provas clínicas ou imagiológicas de enfarte pulmonar, ou sinais ECG de sobrecarga ventricular direita aguda","enfarte pulmonar (arterial ou venoso), tromboembolia, trombose","como complicação de aborto, gravidez, parto W77, ou puerpério W96",dispnéia R02,,
K94,7,Flebite/tromboflebite,Flebite/tromboflebite,"I80, I81, I82, I87.0, I87.8",I80,,trombose venosa superficial ou profunda; flebotrombose; trombose portal,trombose cerebral K89 K90; tromboflebite na gravidez W77 ou no puerpério W96,,,
K95,7,Veias varicosas da perna,Varizes,"I83.1, I83.9, I87.2",I83,presença de veias superficiais dilatadas nas extremidades inferiores; ou demonstração de incompetência valvular,eczema varicoso; insuficiência venosa; estase venosa,úlcera varicosa S97,veias proeminentes K06,,
K96,7,Hemorróidas,Hemorróidas,I84,I84,"visualização de varicosidades do plexo venoso do ânus; ou edema de início agudo, doloroso e azulado, localizado na zona perianal;","hemorróidas internas com ou sem complicações, hematoma perianal; pólipo cutâneo hemorroidal",,"dores anais D04, hemorragia retal D16, tumor anal D29",,
K99,7,Outras doenças do aparelho circulatório,Outras doenças do aparelho circulatório,"I71, I72, I77, I78.0, I78.8, I78.9, I79, I85, I86, I87.1, I87.9, I89.0, I98, I99, M30, M31, R57, T06.3",I99,,aneurisma da aorta; arterite; fístula arteriovenosa; linfoedema; varizes esofágicas; outro aneurisma; poliarterite nodosa; vasculite; veias varicosas em outras partes do corpo para além das extremidades inferiores,"linfadenite B71, aneurisma cerebral K91, gangrena K92",,,
L01,1,Sinais/sintomas do pescoço,Dor/sintomas do pescoço,"M54.0, M54.2",M54.2,,dor atribuída à coluna cervical ou ao sistema musculoesquelético,"dor de cabeça, cabeça ou face dolorida NE N01",,,
L02,1,Sinais/sintomas da região dorsal,Dor/sintomas da região dorsal,"M54.0, M54.6, M54.8, M54.9",M54,,dorsalgia NE; dores torácicas dorsais,dores na região lombar L03,,,
L03,1,Sinais/sintomas da região lombar,Dor/sintomas da região lombar,"M53.3, M54.0, M54.5",M54.5,,"dores nas costas (lombares ou sacroilíacas); coccidinia; lumbago, lombalgia","dor torácica dorsal L02, ciática L86",,,
L04,1,Sinais/sintomas do tórax,Dor/sintomas do tórax,"R07.3, R29.8",R29.8,,dores torácicas atribuídas ao sistema músculo-esquelético,"dores torácicas NE A11; dor precordial K01; dores provocadas pela respiração, dores pleuríticas, pleurodinia R01",,,
L05,1,Sinais/sintomas da axila,Dor/sintomas da axila,R29.8,R29.8,,dores no flanco,sintomas renais U14,,,
L07,1,Sinais/sintomas da mandíbula,Dor/sintomas da mandíbula,"K07.6, R25.2, R29.8, K10.8",M25.5,,sintomas da articulação temporo-mandibular,sinais/sintomas dos dentes e gengivas D19,,,
L08,1,Sinais/sintomas dos ombros,Dor/sintomas dos ombros,"M25.4, M25.5, M25.6",M25.5,,,,,,
L09,1,Sinais/sintomas dos braços,Dor/sintomas dos braços,"M79.6, R25.2, R29.8",M79.6,,,"dores musculares, mialgia L18",,,
L10,1,Sinais/sintomas dos cotovelos,Dor/sintomas dos cotovelos,"M25.4, M25.5, M25.6",M25.5,,,,,,
L11,1,Sinais/sintomas dos punhos,Dor/sintomas dos punhos,"M25.4, M25.5, M25.6",M25.5,,,,,,
L12,1,Sinais/sintomas das mãos e dedos,Dor/sintomas das mãos e dedos,"M25.4, M25.5, M25.6, M79.6, R25.2, R29.8",M79.6,,,,,,
L13,1,Sinais/sintomas do quadril,Dor/sintomas do quadril,"M25.4, M25.5, M25.6, R29.4",M25.5,,,,,,
L14,1,Sinais/sintomas da coxa/perna,Sinais/sintomas da coxa/perna,"M79.6, R25.2, R29.8",M79.6,,cãibras nas pernas,"dores musculares, mialgia L18; pernas inquietas N04",,,
L15,1,Sinais/sintomas do joelho,Dor/sintomas do joelho,"M25.4, M25.5, M25.6",M25.5,,,,,,
L16,1,Sinais/sintomas do tornozelo,Dor/sintomas do tornozelo,"M25.4, M25.5, M25.6",M25.5,,,,,,
L17,1,Sinais/sintomas do pé/dedos pé,Dor/sintomas do pé/dedos pé,"M25.4, M25.5, M25.6, M77.4, M79.6, R25.2, R29.8",M79.6,,metatarsalgia,,,,
L18,1,Dores musculares,Dores musculares,"M60.1, M60.2, M60.8, M60.9, M79.0, M79.1, M79.3, M79.6, R25.2",M79.1,,"fibrosite, fibromialgia, mialgia, reumatismo NE","dores de coluna L01, L02, L03; cãibras na perna L14",,,
L19,1,Sinais/sintomas musculares NE,Dores/sintomas musculares NE,"M62.5, M62.6, M79.9",M79,,"rigidez muscular; atrofia, perda muscular; distensão muscular; cansaço muscular","dores de coluna L01, L02, L03; cãibras na perna L14; “dores de crescimento” na criança L29; síndrome das pernas inquietas N04",,,
L20,1,Sinais/sintomas das articulações NE,Dores/sintomas das articulações NE,"M25.4, M25.5, M25.6, M25.8, M25.9",M25,,"artralgia, derrame articular, dores articulares, articulações rígidas, inchadas, enfraquecidas","articulações especificadas, L07,L08,L10-13,L15-17",,,
L26,1,Medo de câncer no aparelho músculo-esquelético,Medo de câncer no aparelho músculo-esquelético,Z71.1,Z71.1,paciente que receia ter câncer do sistema músculo-esquelético sem o ter ou até o diagnóstico ser confirmado,,"se o paciente tem a doença, codifique-a",,,
L27,1,"Medo de doença no aparelho músculo-esquelético, outro","Medo de doença no aparelho músculo-esquelético, outro",Z71.1,Z71.1,"receio de um paciente ter a doença sem a ter, ou até o diagnóstico ser confirmado",,"se o paciente tem a doença, codifique-a",,,
L28,1,Limitação funcional/incapacidade,Limitação funcional/incapacidade,Z73.6,Z73.6,limitação funcional/ incapacidade devido a problema musculoesquelético,,quedas A29; mancar N29; dificuldades em andar N29; problemas com a forma de andar N29,,Os quadros COOP/WONCA permitem codificar o estado funcional do paciente (ver Capítulo 8).,
L29,1,Outros sinais/sintomas do aparelho músculo-esquelético,Outros sinais/sintomas do aparelho músculo-esquelético,"R26.8, R29.3, R29.8",R29.8,,"“dores de crescimento” na criança; outros sinais, sintomas e condições mal-definidas do sistema músculo-esquelético",unhas em baqueta S22,,,
L70,7,Infecções do aparelho músculo-esquelético,Infecções do aparelho músculo-esquelético,"M00, M01, M46.2, M46.3, M46.4, M46.5, M60.0, M65.0, M65.1, M71.0, M71.1, M86",M00,infecções localizadas do aparelho músculo-esquelético,Tenossinovite infecciosa; osteomielite; artrite piogênica,"doença de Reiter L99, efeitos tardios de poliomielite N70",,,
L71,7,Neoplasia maligna do aparelho músculo-esquelético,Câncer do aparelho músculo-esquelético,"C40, C41, C46.1, C49",C41,aparência histológica característica,fibrosarcoma; osteossarcoma,"neoplasias secundárias (codificar segundo localização primária), neoplasias benignas/nãoespecificadas L97",,,
L72,7,Fratura: rádio/cúbito,Fratura: rádio/cúbito,S52,S52,"sinais imagiológicos de fratura, ou traumatismo e deformação visível ou palpável ou crepitação óssea",fratura de Colles,"fratura patológica L95, L99; não-união L99",sintomas no braço L09; outros traumatismos L81,,
L73,7,Fratura: tíbia/perônio/ fíbula,Fratura: tíbia/perônio/ fíbula,"S82.1, S82.2, S82.3, S82.4, S82.5, S82.6, S82.7, S82.8, S82.9",S82,"evidência imagiológica de fratura ou trauma, e deformação visível ou palpável, ou crepitação óssea",fratura de Pott,"fratura da rótula L76, fratura patológica L95, L99; não-união L99","sintomas da perna L14, sintomas do tornozelo L16, outros traumatismos L81",,
L74,7,Fratura: osso da mão/pé,Fratura: osso da mão/pé,"S62, S92",S62.8,"evidência imagiológica de fratura, ou traumatismo e deformação visível ou palpável, ou crepitação óssea","carpo, metacarpo; falange da mão; falange do pé; tarso, metatarso","fratura patológica L95,L99; não-consolidação L99",sintomas do braço L09 ou perna L14; outros traumatismos L81,,
L75,7,Fratura: fémur,Fratura: fémur,S72,S72,"evidência imagiológica de fratura, ou traumatismo e deformação visível ou palpável, ou crepitação óssea",fratura colo do fêmur,"fraturas patológicas L95, L99; não-consolidação L99",sintomas da perna L14; outros traumatismos L81,,
L76,7,Outras fraturas,Outras fraturas,"S02.2, S02.3, S02.4, S02.6, S02.7, S02.8, S02.9, S12, S22, S32, S42, S82.0, T08, T10, T12, T14.2",T14.2,"evidência imagiológica de fratura, ou traumatismo e deslocamento visível ou palpável da superfície óssea","todas as fraturas não-especificadas em L72 a L75, N80","fratura patológica L95,L99; não-consolidação L99; fratura craniana N80",sintomas no Componente 1,,
L77,7,Entorses e distensões do tornozelo,Entorses e distensões do tornozelo,S93.4,S93.4,torção traumática da parte afetada e dor agravada pela distensão ou tensão da estrutura afetada,,,sintomas do tornozelo L16,,
L78,7,Entorses e distensões do joelho,Entorses e distensões do joelho,"S83.4, S83.6",S83.6,estiramento traumático da parte afetada e dor agravada por distensão ou tensão da estrutura,,lesão aguda do menisco/ligamento interno do joelho L96,,,
L79,7,Entorses e distensões das articulações NE,Entorses e distensões das articulações NE,"S03.4, S03.5, S13.4, S13.5, S13.6, S23.3, S23.4, S23.5, S33.6, S43.4, S43.5, S43.6, S43.7, S53.2, S53.3, S53.4, S63.3, S63.4, S63.5, S63.6, S63.7, S73.1, S93.2, S93.5, S93.6, T09.2, T11.2, T13.2, T14.3",T14.3,estiramento traumático da parte afetada e ainda dores agravadas pela distensão ou tensão da estrutura afetada,"quaisquer torções e distensões das articulações e ligamentos, exceto tornozelo, joelho e coluna vertebral","tornozelo L77; joelho L78; coluna cervical, traumatismo em chicotada L83; distensão de coluna L84",sintomas na Componente 1,,
L80,7,Luxação/subluxação,Luxação/subluxação,"M22.0, M22.1, S03.0, S03.3, S13.0, S13.1, S13.2, S13.3, S23.0, S23.1, S23.2, S33.0, S33.1, S33.2, S33.3, S43.0, S43.1, S43.2, S43.3, S53.0, S53.1, S63.0, S63.1, S63.2, S73.0, S83.0, S83.1, S93.0, S93.1, S93.3, T09.2, T11.2, T13.2, T14.3",T14.3,"lesão da articulação e evidência imagiológica de uma luxação ou subluxação, ou deformação palpável ou visível provocada por luxação","quaisquer luxações e subluxações, incluindo da coluna vertebral",,sintomas na Componente 1,codificar luxações por fratura em “fraturas”,
L81,7,Traumatismos do aparelho musculoesquelético NE,Amputação/ Traumatismos do aparelho musculoesquelético NE,"M79.5, S09.1, S09.9, S16, S17, S18, S19, S20.2, S23.0, S28, S29, S30.0, S30.1, S33.0, S33.4, S39.0, S39.8, S39.9, S40.0, S46, S47, S48, S49, S50.0, S50.1, S56, S57, S58, S59, S60.0, S60.1, S60.2, S66, S67, S68, S69, S70.0, S70.1, S76, S77, S78, S79, S80.0, S80.1, S86, S87, S88, S89, S90.0, S90, S96, S97, S98, S99, T06.4, T11, T13, T14.6",T14.6,,corpo estranho profundo; hemartrose; amputação traumática,"traumatismo interno torácico, abdominal e da pélvis A81; traumatismo múltiplo A81; efeitos tardios de traumatismo: deformações, incapacidades, cicatrização A82; traumatismos dos dentes D80, e do tímpano H77; não-consolidação, artropatia traumática L91; má-consolidação da fratura L99; traumatismo da cabeça, concussão, traumatismo intracraniano, fratura craniana N80; laceração e outros ferimentos dos nervos N81; picada ou mordedura de inseto S12; mordedura de animal S13; equimose, contusão S16; laceração, ferida aberta S18",,,
L82,7,Malformações congênitas do aparelho músculo-esquelético,Malformações congênitas do aparelho músculo-esquelético,"Q65, Q66, Q67, Q68, Q69, Q70, Q71, Q72, Q73, Q74, Q75, Q76, Q77, Q78, Q79",Q79,,genu varum; pé boto (talipe); luxação congênita do quadril; genu recurvatum; malformações do crânio e da face; outras deformações congênitas do pé,escoliose L85; pé chato (adquirido) L98; espinha bífida N85,,,
L83,7,Doenças ou síndromes da coluna cervical,Doenças ou síndromes da coluna cervical,"M43.0, M43.1, M43.3, M43.4, M43.5, M43.6, M46.0, M47.1, M47.2, M47.8, M47.9, M48, M50, M53.0, M53.1, M53.8, M53.9",M48,,síndromes com ou sem irradiação de dor: lesão do disco cervical; síndrome cervicobraquial; osteoartrite; síndrome radicular dos membros superiores; espondilose; torções e distensões; torcicolo; traumatismo em chicotada,,,,
L84,7,Doenças ou síndromes da coluna sem irradiação de dor,Doenças ou síndromes da coluna sem irradiação de dor,"M43.0, M43.1, M43.5, M46.0, M46.1, M46.8, M46.9, M47.0, M47.8, M47.9, M48, M51.2, M51.3, M51.4, M51.8, M51.9, M53.2, M53.3, M53.8, M53.9, S33.5, S33.7",M53,"dores de coluna sem irradiação com limitação de movimentos, confirmado por exame fisico","estiramento da coluna; esmagamento da vértebra NE; degeneração das superfícies articulares; osteoartrose, osteoartrite da coluna; espondilose; espondilolistese",coccidinia L03; síndromes relacionados com o pescoço L83; dores de coluna com irradiação L86; ciática L86; dores psicogênicas da coluna P75 ,sinais/sintomas da coluna L02; lombares L03,,
L85,7,Deformação adquirida da coluna,Deformação adquirida da coluna/ cifose/ escoliose/ lordose/ corcunda,"M40, M41, M43.8, M43.9",M43,,cifoscoliose; cifose; lordose; escoliose,malformações congênitas L82; espondilite anquilosante L88; espondilolistese L84,,,
L86,7,Síndrome vertebral com irradiação dor,Síndrome vertebral com irradiação dor,"M47.1, M47.2, M51.0, M51.1, M51.2, M51.3, M51.4, M51.8, M51.9, M54.3, M54.4, G55",M54.3,"dores na região lombar ou torácica da coluna, juntamente com dores irradiadas para uma área específica ou déficit neurológico; ou ciática, uma dor irradiada pela parte de trás da perna, agravada pela tosse, movimentos ou posição; ou identificação de prolapso do disco lombar ou torácico através de técnicas imagiológicas apropriadas ou durante intervenção cirúrgica",prolapso ou degeneração do disco; ciática,lesão do disco cervical L83; espondilolistese L84; distensão recente da coluna L84,"dores de coluna L02, L03",excluir referência a dores vagas,
L87,7,Bursite/tendinite/sinovite NE,Bursite/tendinite/sinovite NE,"M65.2, M65.3, M65.4, M65.8, M65.9, M67.3, M67.4, M70, M71.2, M71.3, M71.4, M71.5, M71.8, M71.9, M72, M76, M77.0, M77.2, M77.3, M77.8, M77.9, M77.5",M77,,"esporão ósseo, tendão calcificado, contração de Dupuytren, fasceíte, gânglio ou cisto sinovial, tenossinovite, dedo em gatilho","do ombro L92; cotovelo de tenista, epicondilite externa L93",,,
L88,7,Artrite reumatóide/seropositiva,Artrite reumatóide,"M05, M06, M08, M45",M06,,condições associadas: espondilite anquilosante; artrite juvenil,artropatia psoriática S91,,,
